You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Initializing t5-11b on cuda...
🚀 Enabling LoRA Fine-tuning...
trainable params: 20,054,016 || all params: 11,327,375,360 || trainable%: 0.1770
Loading data from data/raw/train_100k.jsonl...
Loaded 100000 samples.
Loading data from data/raw/valid.jsonl...
Loaded 500 samples.

Start Training: 100k | Effective Batch Size: 2 | AMP: bf16
/usr/local/lib/python3.10/dist-packages/apex/_autocast_utils.py:26: FutureWarning: `torch.cuda.amp.autocast_mode._cast(value, dtype)` is deprecated. Please use `torch.amp.autocast_mode._cast(value, 'cuda', dtype)` instead.
  return torch.cuda.amp.autocast_mode._cast(args, torch.get_autocast_gpu_dtype())
/usr/local/lib/python3.10/dist-packages/apex/normalization/fused_layer_norm.py:214: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=False):
Epoch 0 | Batch 15700/50000 | Loss: 2.7379
Epoch 0 | Batch 15750/50000 | Loss: 2.2404
Epoch 0 | Batch 15800/50000 | Loss: 2.9099
Epoch 0 | Batch 15850/50000 | Loss: 2.7646
Epoch 0 | Batch 15900/50000 | Loss: 2.4454
Epoch 0 | Batch 15950/50000 | Loss: 2.2541
Epoch 0 | Batch 16000/50000 | Loss: 2.9376
Epoch 0 | Batch 16050/50000 | Loss: 3.0204
Epoch 0 | Batch 16100/50000 | Loss: 2.4967
Epoch 0 | Batch 16150/50000 | Loss: 2.7746
Epoch 0 | Batch 16200/50000 | Loss: 2.5714
Epoch 0 | Batch 16250/50000 | Loss: 2.5446
Epoch 0 | Batch 16300/50000 | Loss: 2.7944
Epoch 0 | Batch 16350/50000 | Loss: 2.4260
Epoch 0 | Batch 16400/50000 | Loss: 2.6455
Epoch 0 | Batch 16450/50000 | Loss: 3.1197
Epoch 0 | Batch 16500/50000 | Loss: 2.9193
Epoch 0 | Batch 16550/50000 | Loss: 2.9525
Epoch 0 | Batch 16600/50000 | Loss: 3.4382
Epoch 0 | Batch 16650/50000 | Loss: 3.0530
Epoch 0 | Batch 16700/50000 | Loss: 3.1068
Epoch 0 | Batch 16750/50000 | Loss: 2.2829
Epoch 0 | Batch 16800/50000 | Loss: 3.0858
Epoch 0 | Batch 16850/50000 | Loss: 3.4393
Epoch 0 | Batch 16900/50000 | Loss: 2.7236
Epoch 0 | Batch 16950/50000 | Loss: 2.9956
Epoch 0 | Batch 17000/50000 | Loss: 2.5628
Epoch 0 | Batch 17050/50000 | Loss: 2.8330
Epoch 0 | Batch 17100/50000 | Loss: 2.8219
Epoch 0 | Batch 17150/50000 | Loss: 3.0648
Epoch 0 | Batch 17200/50000 | Loss: 2.9743
Epoch 0 | Batch 17250/50000 | Loss: 2.4778
Epoch 0 | Batch 17300/50000 | Loss: 2.5837
Epoch 0 | Batch 17350/50000 | Loss: 2.9534
Epoch 0 | Batch 17400/50000 | Loss: 2.5497
Epoch 0 | Batch 17450/50000 | Loss: 2.4787
Epoch 0 | Batch 17500/50000 | Loss: 2.9623
